,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
495,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
496,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
501,113000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
502,170000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
503,130000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
508,175000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
509,140000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
514,160000,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
515,119300,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
517,105000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
518,90000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
521,225000,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
522,160000,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
530,250000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
531,63000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
536,82000,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
539,203500,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
540,152000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
541,186000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
542,148800,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
546,170000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
547,120000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
550,216200,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
551,144100,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
556,135000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
557,85000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
558,135000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
559,85000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
562,189650,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
563,164996,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
566,154000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
567,126000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
568,200000,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
569,150000,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
570,195700,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
571,130500,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
576,117000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
577,99450,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
580,193900,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
581,129300,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
585,175000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
